28.689519,77.324495
28.689431,77.324347
28.689316,77.324165
28.689285,77.324062
28.689218,77.324948
28.689343,77.324858
28.689431,77.324807
28.689567,77.324717
28.689672,77.324629
28.689617,77.324473
28.689572,77.324362
28.689498,77.324241
28.689436,77.324131
28.689390,77.324028
28.689329,77.324900
28.689219,77.324946
28.689081,77.324049
28.689973,77.324116
28.689872,77.324185
28.689764,77.324265
28.689674,77.324324
28.689590,77.324375
28.689505,77.324431
28.689419,77.324490
28.689317,77.324556
28.689229,77.324627
28.689152,77.324677
28.689047,77.324755
28.689916,77.324834
28.689790,77.324918
28.689654,77.324018
28.689553,77.324085
28.689463,77.324145
28.689371,77.324209
28.689243,77.324305
28.689143,77.324372
28.689996,77.324480
28.689841,77.324579
28.689704,77.324668
28.689386,77.324878
